Date,Population (x1000),New Vehicle Sales ($M),Consumer Credit ($B),New Houses Sales (x1000),US Dollar Index,Government Employees (x1000),Personal Income ($B),Avg New House Price ($),Industrial Production Index,Civilian Employment-Population ratio,Unemployment Rate,Date.year,Date.month,Date.day-of-month,Date.day-of-week
2013-05-17,,,,,77.8623,,,,,,,2013,5,17,5
2013-04-30,315928,14.867,,454,75.4857,21844,,330800,98.7439,58.6,7.5,2013,4,30,2
2013-03-31,315749,15.206,2807.4887,444,76.2336,21855,13630.4,286700,99.2747,58.5,7.6,2013,3,31,7
2013-02-28,315587,15.323,2799.5228,429,75.6341,21871,13599.5,314400,98.9583,58.6,7.7,2013,2,28,4
2013-01-31,315427,15.222,2780.8935,458,73.4087,21858,13448.3,306900,98.0631,58.6,7.9,2013,1,31,4
2012-12-31,315255,15.325,2768.2167,396,73.4362,21874,13955.5,299200,98.1884,58.6,7.8,2012,12,31,1
2012-11-30,315075,15.482,2753.8041,398,73.2978,21879,13597.6,290700,98.1118,58.7,7.8,2012,11,30,5
2012-10-31,314886,14.232,2739.9632,365,73.1491,21888,13452.4,285400,96.8409,58.7,7.9,2012,10,31,3
2012-09-30,314669,14.879,2723.7865,384,72.7187,21945,13446.0,297700,96.9549,58.7,7.8,2012,9,30,7
2012-08-31,314456,14.462,2713.9107,374,73.5926,21925,13395.7,305500,96.785,58.4,8.1,2012,8,31,5
2012-07-31,314250,14.041,2695.3429,369,74.5968,21891,13376.9,282300,97.5571,58.5,8.2,2012,7,31,2
2012-06-30,314049,14.334,2691.1149,360,74.4675,21915,13355.9,271800,97.1322,58.6,8.2,2012,6,30,6
2012-05-31,313865,13.897,2683.2997,369,75.6225,21906,13322.3,280900,97.1042,58.6,8.2,2012,5,31,4
2012-04-30,313682,14.081,2663.3786,352,72.2339,21933,13302.9,287900,96.8572,58.5,8.1,2012,4,30,1
2012-03-31,313503,14.088,2650.9276,349,72.6813,21941,13298.3,283600,96.1393,58.5,8.2,2012,3,31,6
2012-02-29,313341,14.429,2640.2726,366,72.0864,21944,13234.7,274000,96.6672,58.6,8.3,2012,2,29,3
2012-01-31,313182,13.929,2628.3579,338,72.5977,21938,13148.4,265700,96.1959,58.5,8.3,2012,1,31,2
2011-12-31,313009,13.566,2615.6548,341,73.3313,21950,13032.2,262900,95.5239,58.6,8.5,2011,12,31,6
2011-11-30,312830,13.51,2602.7075,328,72.3354,21969,12994.4,250000,94.9598,58.5,8.6,2011,11,30,3
2011-10-31,312640,13.294,2586.7618,316,70.4611,21992,13025.5,258300,94.7474,58.4,8.9,2011,10,31,1
2011-09-30,312423,13.093,2580.8235,304,72.7945,22000,12981.2,255400,94.2216,58.4,9.0,2011,9,30,5
2011-08-31,312210,12.419,2570.8415,299,68.7861,22031,12970.8,259300,94.1212,58.3,9.0,2011,8,31,3
2011-07-31,312005,12.362,2578.3085,296,68.2301,22028,12976.9,270300,93.6088,58.2,9.0,2011,7,31,7
2011-06-30,311806,11.68,2562.4611,301,69.0606,22156,12957.5,273100,93.0774,58.2,9.1,2011,6,30,4
2011-05-31,311624,11.871,2551.896,305,69.4152,22124,12931.7,262700,92.9126,58.4,9.0,2011,5,31,2
2011-04-30,311444,12.909,2543.5304,310,68.0809,22192,12927.5,268900,92.5765,58.4,9.0,2011,4,30,6
2011-03-31,311268,12.753,2538.9993,300,70.4523,22191,12884.4,260800,93.1137,58.4,8.9,2011,3,31,4
2011-02-28,311109,12.825,2531.772,270,71.1413,22209,12867.8,262800,92.1748,58.4,9.0,2011,2,28,1
2011-01-31,310952,12.512,2519.4557,307,72.0623,22256,12817.4,275700,92.6088,58.3,9.1,2011,1,31,1
2010-12-31,310774,12.51,2522.2283,326,73.1486,22267,12574.1,291700,92.7225,58.3,9.3,2010,12,31,5
2010-11-30,310590,12.194,2403.7364,287,74.7478,22286,12492.5,281700,91.8155,58.2,9.8,2010,11,30,2
2010-10-31,310396,12.196,2401.9459,291,72.093,22296,12463.2,254400,91.5685,58.3,9.5,2010,10,31,7
2010-09-30,310174,11.774,2393.5017,317,73.4925,22256,12415.4,270800,91.8829,58.5,9.5,2010,9,30,4
2010-08-31,309956,11.821,2389.5396,282,76.718,22412,12418.4,268800,91.6491,58.5,9.5,2010,8,31,2
2010-07-31,309746,11.675,2388.9421,283,75.4142,22578,12357.8,252100,91.4059,58.5,9.5,2010,7,31,6
2010-06-30,309545,11.39,2390.8817,305,78.7985,22767,12330.4,256700,90.8744,58.5,9.4,2010,6,30,3
2010-05-31,309362,11.716,2393.9423,280,79.1346,22991,12309.0,281100,90.6754,58.6,9.6,2010,5,31,1
2010-04-30,309180,11.099,2404.0145,422,75.8707,22572,12232.3,270500,89.2674,58.7,9.9,2010,4,30,5
2010-03-31,309212,11.474,2410.0951,381,75.402,22513,12144.2,262900,88.9705,58.5,9.9,2010,3,31,3
2010-02-28,309027,10.118,2406.9246,336,75.3209,22470,12077.4,284100,88.3021,58.5,9.8,2010,2,28,7
2010-01-31,308833,10.69,2416.5699,345,75.147,22484,12047.9,283400,87.964,58.5,9.8,2010,1,31,7
2009-12-31,308633,11.072,2420.1657,352,74.0583,22480,11938.3,278300,87.0436,58.3,9.9,2009,12,31,4
2009-11-30,308418,10.822,2427.8204,375,71.862,22533,11861.3,274700,86.6394,58.6,9.9,2009,11,30,1
2009-10-31,308189,10.374,2449.2389,396,73.3254,22520,11799.1,263800,86.2231,58.5,10.0,2009,10,31,6
